date,price
Jan-1991,25.23
Feb-1991,20.48
Mar-1991,19.9
Apr-1991,20.83
May-1991,21.23
Jun-1991,20.19
Jul-1991,21.4
Aug-1991,21.69
Sep-1991,21.89
Oct-1991,23.23
Nov-1991,22.46
Dec-1991,19.5
Jan-1992,18.79
Feb-1992,19.01
Mar-1992,18.92
Apr-1992,20.23
May-1992,20.98
Jun-1992,22.39
Jul-1992,21.78
Aug-1992,21.34
Sep-1992,21.88
Oct-1992,21.69
Nov-1992,20.34
Dec-1992,19.41
Jan-1993,19.03
Feb-1993,20.09
Mar-1993,20.32
Apr-1993,20.25
May-1993,19.95
Jun-1993,19.09
Jul-1993,17.89
Aug-1993,18.01
Sep-1993,17.5
Oct-1993,18.15
Nov-1993,16.61
Dec-1993,14.52
Jan-1994,15.03
Feb-1994,14.78
Mar-1994,14.68
Apr-1994,16.42
May-1994,17.89
Jun-1994,19.06
Jul-1994,19.66
Aug-1994,18.38
Sep-1994,17.45
Oct-1994,17.72
Nov-1994,18.07
Dec-1994,17.16
Jan-1995,18.04
Feb-1995,18.57
Mar-1995,18.54
Apr-1995,19.9
May-1995,19.74
Jun-1995,18.45
Jul-1995,17.33
Aug-1995,18.02
Sep-1995,18.23
Oct-1995,17.43
Nov-1995,17.99
Dec-1995,19.03
Jan-1996,18.86
Feb-1996,19.09
Mar-1996,21.33
Apr-1996,23.5
May-1996,21.17
Jun-1996,20.42
Jul-1996,21.3
Aug-1996,21.9
Sep-1996,23.97
Oct-1996,24.88
Nov-1996,23.71
Dec-1996,25.23
